author_id,edit_history_tweet_ids,id,public_metrics,text,retweeter,withheld,tweeter
157695998,[1624485359059959809],1624485359059959809,"{'retweet_count': 207, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",RT @Deu_Kurier: Mehr als 200.000 ukrainische Schüler besuchen inzwischen deutsche Schulen. Das bringt die ohnehin schon überlasteten Lehrkr…,scotsfan2,,Deu_Kurier
1567527696,[1624485015013711873],1624485015013711873,"{'retweet_count': 207, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",RT @Deu_Kurier: Mehr als 200.000 ukrainische Schüler besuchen inzwischen deutsche Schulen. Das bringt die ohnehin schon überlasteten Lehrkr…,houstenmcc,,Deu_Kurier
1259440570956685312,[1624484814341517314],1624484814341517314,"{'retweet_count': 207, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",RT @Deu_Kurier: Mehr als 200.000 ukrainische Schüler besuchen inzwischen deutsche Schulen. Das bringt die ohnehin schon überlasteten Lehrkr…,SchwarzeHexe5,,Deu_Kurier
1451053924572598273,[1624483838972903426],1624483838972903426,"{'retweet_count': 207, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",RT @Deu_Kurier: Mehr als 200.000 ukrainische Schüler besuchen inzwischen deutsche Schulen. Das bringt die ohnehin schon überlasteten Lehrkr…,Zaboja_,,Deu_Kurier
23790870,[1624483519899619329],1624483519899619329,"{'retweet_count': 6, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}","RT @Philo_soophie: Wenn noch irgendwer glaubt, dass die Einschränkung von Teilzeit oder die Einführung von mehr Unterrichtsstunden für den…",Loewchen,,Philo_soophie
1421847842306641921,[1624483480192032770],1624483480192032770,"{'retweet_count': 207, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",RT @Deu_Kurier: Mehr als 200.000 ukrainische Schüler besuchen inzwischen deutsche Schulen. Das bringt die ohnehin schon überlasteten Lehrkr…,absolventin20,,Deu_Kurier
1160183215308623873,[1624482407368867840],1624482407368867840,"{'retweet_count': 6, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}","RT @Philo_soophie: Wenn noch irgendwer glaubt, dass die Einschränkung von Teilzeit oder die Einführung von mehr Unterrichtsstunden für den…",Bot_TwLehrerZ,,Philo_soophie
1518981982415429633,[1624482344034762754],1624482344034762754,"{'retweet_count': 207, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",RT @Deu_Kurier: Mehr als 200.000 ukrainische Schüler besuchen inzwischen deutsche Schulen. Das bringt die ohnehin schon überlasteten Lehrkr…,F_P_Lovekraft,,Deu_Kurier
2946458074,[1624482298891497477],1624482298891497477,"{'retweet_count': 6, 'reply_count': 0, 'like_count': 13, 'quote_count': 0, 'impression_count': 1060}","Wenn noch irgendwer glaubt, dass die Einschränkung von Teilzeit oder die Einführung von mehr Unterrichtsstunden für den Lehrkräfte-Mangel eine Lösung ist⬇️
#lehrermangel #twlz #schule #bildung #lehrerinnen #lehrer #bildungsreform #bildungskatastrophe https://t.co/Gbh0rPZ3Bm",Philo_soophie,,
21303876,[1624482133707194369],1624482133707194369,"{'retweet_count': 33, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}","RT @leseerlaubnis: Wenn Lehrkräfte rauchen würden, wäre vielen Eltern klar, dass man das auch in der letzten Reihe als gefährlich empfindet…",jleinenbach,,leseerlaubnis
1557749753898835969,[1624481987749728256],1624481987749728256,"{'retweet_count': 207, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",RT @Deu_Kurier: Mehr als 200.000 ukrainische Schüler besuchen inzwischen deutsche Schulen. Das bringt die ohnehin schon überlasteten Lehrkr…,Kaiser5Vera,,Deu_Kurier
